連鎖(目),連結,色,総数,送信ライン,スコア,,,,,,,連鎖(目),"連結""色",スコア,送信ライン,相殺,回数,,単発→130点落下→単発＝1ライン
1,4,1,4,0,40,,,,,,,1,"4""2",240,2,3,,,5連結→70点落下→単発＝0
1,5,1,5,0,100,,,,,,,1,6:7,1300,7,,,,単発→70点落下→5連結＝1
1,6,1,6,0,180,,,,,,,1,6:4,600,5,,,,5連結→130点落下→単発＝0
1,7,1,7,1,280,,,,,,,,,,,,,,5連結→140点落下→単発＝1
1,8,1,8,2,400,,,,,,,,,,,,,,20点落下→単発→110点落下→単発＝1
1,9,1,9,4,540,,,,,,,,,,,,,,50点落下→単発→50点落下→単発→80点落下→単発＝0
1,10,1,10,5,700,,,,,,,全消し,4,2100,6,,,,50点落下→単発→40点落下→単発→90点落下→単発＝0
1,11,1,11,5,1100,,,,,,,,,,,,,,50点落下→単発→90点落下→単発→40点落下→単発＝0
1,4,1,8,1,80,,,,,,,,,,,,,,50点落下→単発→90点落下→単発→50点落下→単発＝0
1,5,1,9,2,180,,,,,,,,,,,,,,30点落下→6連結=1
1,5,1,10,3,400,,,,,,,,,,,,,,
1,4,2,8,2,240,,,,,,,,,,,,,,
1,5,2,9,4,450,,,,,,,1,4,,1,,,,
1,6,2,10,4,600,,,,,,,おじゃま返しによって相殺分がリセットされるが，その時1段分減ることがある？,,,,,,,
1,5,2,10,5,700,,,,,,,落下ボーナス次第では単発でも1列送れる？,,,,,,,
1,6,2,11,5,880,,,,,,,落下ボーナス込みで1連鎖「210点」を稼ぐと単発でも1ライン送れる,,,,,,,
1,7,2,11,5,770,,,,,,,,,,,,,,
1,6,2,12,6,1080,,,,,,,100点落下→7連結=1,,,,,,,
1,7,2,12,6,1080,,,,,,,120点落下→7連結=1,,,,,,,
1,7,2,13,7,1300,,,,,,,139点落下→7連結=1,,,,,,,
1,7,2,14,8,1540,,,,,,,140点落下→7連結=2,,,,,,,
